user_id,connected_user_id,user_handle,connected_handle,interaction_type,date
P003,P006,user_003,user_006,reply,2026-06-17
P009,P010,user_009,user_010,retweet,2026-08-09
P009,P008,user_009,user_008,reply,2026-07-17
P006,P004,user_006,user_004,retweet,2026-08-06
P006,P002,user_006,user_002,mention,2026-07-13
P046,P008,user_046,user_008,reply,2026-08-07
P006,P009,user_006,user_009,mention,2026-08-03
P045,P015,user_045,user_015,mention,2026-07-21
P008,P009,user_008,user_009,retweet,2026-08-04
P037,P036,user_037,user_036,mention,2026-06-17
P009,P019,user_009,user_019,mention,2026-06-07
P003,P001,user_003,user_001,reply,2026-07-20
P013,P004,user_013,user_004,mention,2026-07-14
P005,P002,user_005,user_002,retweet,2026-06-20
P006,P004,user_006,user_004,mention,2026-07-18
P009,P008,user_009,user_008,reply,2026-06-06
P007,P009,user_007,user_009,retweet,2026-08-23
P010,P008,user_010,user_008,retweet,2026-06-27
P003,P006,user_003,user_006,mention,2026-07-08
P010,P009,user_010,user_009,mention,2026-07-14
P010,P007,user_010,user_007,mention,2026-06-02
P036,P022,user_036,user_022,reply,2026-08-22
P006,P008,user_006,user_008,reply,2026-07-13
P007,P010,user_007,user_010,mention,2026-07-14
P007,P009,user_007,user_009,retweet,2026-08-13
P001,P029,user_001,user_029,mention,2026-08-03
P050,P003,user_050,user_003,retweet,2026-06-13
P024,P016,user_024,user_016,retweet,2026-06-27
P005,P003,user_005,user_003,mention,2026-06-11
P004,P022,user_004,user_022,mention,2026-08-25
P004,P005,user_004,user_005,retweet,2026-06-13
P002,P004,user_002,user_004,mention,2026-08-15
P031,P040,user_031,user_040,mention,2026-08-15
P007,P010,user_007,user_010,retweet,2026-06-08
P006,P010,user_006,user_010,reply,2026-08-10
P002,P006,user_002,user_006,reply,2026-06-13
P005,P003,user_005,user_003,retweet,2026-07-05
P003,P006,user_003,user_006,mention,2026-08-22
P007,P010,user_007,user_010,reply,2026-06-16
P010,P024,user_010,user_024,retweet,2026-06-23
P002,P001,user_002,user_001,reply,2026-07-17
P006,P004,user_006,user_004,mention,2026-07-13
P003,P006,user_003,user_006,reply,2026-06-14
P004,P002,user_004,user_002,retweet,2026-08-08
P006,P009,user_006,user_009,mention,2026-06-10
P010,P006,user_010,user_006,reply,2026-08-15
P006,P009,user_006,user_009,mention,2026-06-15
P006,P005,user_006,user_005,mention,2026-08-20
P039,P012,user_039,user_012,mention,2026-08-15
P014,P013,user_014,user_013,reply,2026-08-17
P006,P001,user_006,user_001,retweet,2026-08-22
P027,P038,user_027,user_038,reply,2026-06-15
P004,P005,user_004,user_005,reply,2026-08-17
P004,P002,user_004,user_002,reply,2026-07-24
P004,P001,user_004,user_001,reply,2026-06-23
P008,P009,user_008,user_009,reply,2026-06-18
P006,P005,user_006,user_005,reply,2026-06-19
P003,P001,user_003,user_001,retweet,2026-07-22
P017,P026,user_017,user_026,reply,2026-08-08
P026,P045,user_026,user_045,reply,2026-06-15
P020,P007,user_020,user_007,retweet,2026-08-04
P002,P004,user_002,user_004,reply,2026-08-26
P030,P031,user_030,user_031,mention,2026-06-12
P048,P008,user_048,user_008,retweet,2026-07-10
P015,P001,user_015,user_001,retweet,2026-08-01
P004,P005,user_004,user_005,reply,2026-08-07
P050,P024,user_050,user_024,retweet,2026-08-07
P006,P005,user_006,user_005,retweet,2026-07-13
P009,P007,user_009,user_007,retweet,2026-07-16
P006,P003,user_006,user_003,retweet,2026-08-12
P028,P017,user_028,user_017,mention,2026-06-22
P006,P008,user_006,user_008,reply,2026-06-16
P024,P038,user_024,user_038,mention,2026-06-25
P006,P010,user_006,user_010,reply,2026-07-09
P010,P006,user_010,user_006,mention,2026-08-13
P010,P007,user_010,user_007,mention,2026-08-20
P004,P002,user_004,user_002,reply,2026-08-05
P010,P009,user_010,user_009,reply,2026-08-22
P001,P002,user_001,user_002,mention,2026-07-07
P006,P008,user_006,user_008,mention,2026-08-23
P001,P002,user_001,user_002,retweet,2026-07-09
P030,P006,user_030,user_006,reply,2026-06-18
P005,P002,user_005,user_002,reply,2026-06-24
P006,P016,user_006,user_016,mention,2026-07-17
P008,P007,user_008,user_007,retweet,2026-08-17
P030,P038,user_030,user_038,retweet,2026-07-23
P001,P005,user_001,user_005,reply,2026-07-16
P002,P001,user_002,user_001,retweet,2026-07-11
P004,P006,user_004,user_006,reply,2026-08-27
P004,P006,user_004,user_006,mention,2026-08-06
P005,P006,user_005,user_006,retweet,2026-06-18
P041,P017,user_041,user_017,mention,2026-06-06
P008,P009,user_008,user_009,reply,2026-07-20
P005,P002,user_005,user_002,retweet,2026-06-17
P008,P007,user_008,user_007,reply,2026-07-11
P002,P004,user_002,user_004,reply,2026-07-04
P005,P001,user_005,user_001,retweet,2026-08-03
P002,P001,user_002,user_001,reply,2026-06-14
P031,P043,user_031,user_043,mention,2026-06-14
P004,P026,user_004,user_026,mention,2026-06-25
P005,P001,user_005,user_001,reply,2026-06-04
P007,P008,user_007,user_008,retweet,2026-06-06
P007,P008,user_007,user_008,reply,2026-06-22
P038,P035,user_038,user_035,mention,2026-08-21
P006,P009,user_006,user_009,reply,2026-07-18
P006,P002,user_006,user_002,reply,2026-06-25
P007,P008,user_007,user_008,reply,2026-08-05
P004,P005,user_004,user_005,mention,2026-07-26
P001,P003,user_001,user_003,retweet,2026-07-14
P039,P023,user_039,user_023,retweet,2026-08-03
P012,P034,user_012,user_034,mention,2026-06-07
P006,P010,user_006,user_010,mention,2026-06-04
P015,P020,user_015,user_020,retweet,2026-06-25
P003,P005,user_003,user_005,retweet,2026-08-02
P005,P006,user_005,user_006,retweet,2026-08-19
P004,P001,user_004,user_001,retweet,2026-06-24
P004,P001,user_004,user_001,retweet,2026-08-16
P006,P004,user_006,user_004,mention,2026-06-23
P004,P003,user_004,user_003,mention,2026-06-26
P021,P001,user_021,user_001,mention,2026-07-16
P002,P006,user_002,user_006,mention,2026-08-12
P004,P009,user_004,user_009,mention,2026-08-03
P006,P004,user_006,user_004,retweet,2026-06-17
P004,P027,user_004,user_027,reply,2026-07-11
P029,P050,user_029,user_050,retweet,2026-06-16
P003,P002,user_003,user_002,retweet,2026-06-20
P005,P006,user_005,user_006,mention,2026-07-23
P001,P004,user_001,user_004,reply,2026-06-02
P012,P019,user_012,user_019,retweet,2026-08-17
P005,P006,user_005,user_006,mention,2026-08-14
P023,P033,user_023,user_033,mention,2026-07-20
P001,P004,user_001,user_004,mention,2026-07-27
P006,P008,user_006,user_008,reply,2026-07-08
P001,P004,user_001,user_004,mention,2026-06-08
P009,P007,user_009,user_007,retweet,2026-08-11
P042,P028,user_042,user_028,retweet,2026-06-22
P001,P013,user_001,user_013,mention,2026-08-12
P007,P008,user_007,user_008,mention,2026-07-07
P004,P002,user_004,user_002,retweet,2026-08-10
P009,P006,user_009,user_006,retweet,2026-08-19
P005,P006,user_005,user_006,reply,2026-06-10
P007,P008,user_007,user_008,mention,2026-07-19
P004,P003,user_004,user_003,retweet,2026-08-20
P001,P004,user_001,user_004,reply,2026-08-14
P010,P036,user_010,user_036,mention,2026-07-08
P005,P003,user_005,user_003,retweet,2026-06-09
P044,P049,user_044,user_049,reply,2026-07-24
P006,P007,user_006,user_007,retweet,2026-08-14
P003,P002,user_003,user_002,retweet,2026-08-18
P020,P044,user_020,user_044,mention,2026-06-15
P009,P010,user_009,user_010,retweet,2026-07-23
P007,P008,user_007,user_008,retweet,2026-06-25
P001,P004,user_001,user_004,reply,2026-07-18
P001,P016,user_001,user_016,mention,2026-07-07
P010,P008,user_010,user_008,reply,2026-07-08
P007,P009,user_007,user_009,reply,2026-06-08
P010,P008,user_010,user_008,retweet,2026-08-08
P009,P006,user_009,user_006,retweet,2026-06-10
P010,P007,user_010,user_007,reply,2026-07-13
P041,P037,user_041,user_037,retweet,2026-06-16
P009,P008,user_009,user_008,retweet,2026-06-08
P008,P010,user_008,user_010,reply,2026-08-02
P047,P020,user_047,user_020,mention,2026-07-14
P001,P003,user_001,user_003,mention,2026-06-12
P006,P002,user_006,user_002,retweet,2026-06-05
P008,P006,user_008,user_006,mention,2026-07-21
P010,P006,user_010,user_006,retweet,2026-07-05
P004,P003,user_004,user_003,retweet,2026-06-27
P002,P001,user_002,user_001,mention,2026-07-27
P006,P008,user_006,user_008,mention,2026-08-09
P014,P029,user_014,user_029,mention,2026-07-25
P007,P009,user_007,user_009,mention,2026-06-07
P005,P012,user_005,user_012,retweet,2026-07-13
P002,P005,user_002,user_005,retweet,2026-07-15
P011,P007,user_011,user_007,retweet,2026-08-14
P031,P041,user_031,user_041,reply,2026-08-03
P024,P032,user_024,user_032,retweet,2026-07-14
P003,P004,user_003,user_004,reply,2026-07-01
P013,P029,user_013,user_029,reply,2026-06-13
P007,P008,user_007,user_008,mention,2026-07-16
P001,P004,user_001,user_004,reply,2026-07-18
P002,P005,user_002,user_005,reply,2026-08-12
P006,P008,user_006,user_008,mention,2026-07-04
P020,P012,user_020,user_012,mention,2026-08-22
P017,P004,user_017,user_004,mention,2026-08-24
P030,P048,user_030,user_048,mention,2026-06-22
P009,P006,user_009,user_006,mention,2026-07-09
P004,P002,user_004,user_002,reply,2026-06-05
P018,P006,user_018,user_006,retweet,2026-08-16
P010,P009,user_010,user_009,reply,2026-07-17
P008,P024,user_008,user_024,reply,2026-06-20
P017,P029,user_017,user_029,mention,2026-07-07
P009,P008,user_009,user_008,retweet,2026-06-06
P007,P010,user_007,user_010,retweet,2026-06-18
P004,P002,user_004,user_002,reply,2026-07-13
P047,P042,user_047,user_042,reply,2026-06-05
P015,P022,user_015,user_022,retweet,2026-06-09
P026,P013,user_026,user_013,mention,2026-08-02
P003,P006,user_003,user_006,retweet,2026-07-04
P011,P021,user_011,user_021,retweet,2026-07-19
P004,P006,user_004,user_006,mention,2026-08-27
P001,P003,user_001,user_003,reply,2026-08-15
P025,P012,user_025,user_012,mention,2026-08-21
P001,P002,user_001,user_002,mention,2026-07-09
P001,P004,user_001,user_004,mention,2026-07-17
P003,P005,user_003,user_005,retweet,2026-06-08
P003,P004,user_003,user_004,retweet,2026-07-15
P041,P046,user_041,user_046,retweet,2026-07-05
P004,P003,user_004,user_003,retweet,2026-06-17
P010,P009,user_010,user_009,reply,2026-07-19
P042,P016,user_042,user_016,retweet,2026-07-01
P001,P005,user_001,user_005,mention,2026-07-12
P004,P005,user_004,user_005,reply,2026-06-19
P011,P048,user_011,user_048,retweet,2026-07-26
P042,P033,user_042,user_033,retweet,2026-08-07
P005,P002,user_005,user_002,reply,2026-08-20
P006,P009,user_006,user_009,retweet,2026-07-20
P005,P001,user_005,user_001,reply,2026-07-09
P043,P015,user_043,user_015,reply,2026-06-26
P035,P034,user_035,user_034,reply,2026-07-23
P011,P030,user_011,user_030,reply,2026-07-08
P006,P047,user_006,user_047,reply,2026-08-18
P045,P050,user_045,user_050,retweet,2026-07-14
P017,P020,user_017,user_020,mention,2026-07-26
P029,P035,user_029,user_035,retweet,2026-08-04
P003,P006,user_003,user_006,reply,2026-07-12
P038,P021,user_038,user_021,reply,2026-07-04
P003,P004,user_003,user_004,retweet,2026-06-03
P007,P006,user_007,user_006,retweet,2026-06-11
P006,P008,user_006,user_008,retweet,2026-08-17
P003,P006,user_003,user_006,reply,2026-06-02
P006,P008,user_006,user_008,reply,2026-06-03
P009,P014,user_009,user_014,mention,2026-07-06
P009,P006,user_009,user_006,mention,2026-06-16
P009,P006,user_009,user_006,reply,2026-08-10
P009,P006,user_009,user_006,reply,2026-07-16
P009,P007,user_009,user_007,reply,2026-07-27
P002,P006,user_002,user_006,mention,2026-06-20
P050,P033,user_050,user_033,mention,2026-08-27
P009,P010,user_009,user_010,mention,2026-07-25
P005,P001,user_005,user_001,retweet,2026-06-22
P045,P048,user_045,user_048,reply,2026-07-04
P006,P002,user_006,user_002,mention,2026-07-10
P002,P005,user_002,user_005,reply,2026-07-08
P004,P005,user_004,user_005,mention,2026-08-26
P009,P010,user_009,user_010,retweet,2026-08-16
P014,P041,user_014,user_041,mention,2026-08-15
P001,P003,user_001,user_003,retweet,2026-06-26
P007,P020,user_007,user_020,mention,2026-08-22
P003,P001,user_003,user_001,mention,2026-07-04
P005,P002,user_005,user_002,mention,2026-07-11
P009,P007,user_009,user_007,mention,2026-06-22
P017,P013,user_017,user_013,reply,2026-06-19
P009,P007,user_009,user_007,mention,2026-06-04
P003,P001,user_003,user_001,mention,2026-07-13
P046,P033,user_046,user_033,retweet,2026-06-17
P006,P002,user_006,user_002,retweet,2026-06-11
P002,P005,user_002,user_005,reply,2026-07-07
P009,P008,user_009,user_008,mention,2026-07-07
P010,P041,user_010,user_041,mention,2026-06-21
P029,P039,user_029,user_039,mention,2026-06-12
P003,P004,user_003,user_004,retweet,2026-06-04
P001,P006,user_001,user_006,retweet,2026-07-08
P026,P012,user_026,user_012,retweet,2026-06-03
P020,P041,user_020,user_041,reply,2026-08-02
P049,P006,user_049,user_006,mention,2026-07-17
P016,P041,user_016,user_041,mention,2026-08-01
P007,P008,user_007,user_008,retweet,2026-08-22
P006,P002,user_006,user_002,reply,2026-06-05
P001,P003,user_001,user_003,retweet,2026-07-14
P009,P007,user_009,user_007,reply,2026-07-16
P003,P001,user_003,user_001,reply,2026-08-23
P030,P020,user_030,user_020,mention,2026-08-01
P047,P007,user_047,user_007,mention,2026-06-14
P005,P006,user_005,user_006,mention,2026-07-02
P002,P005,user_002,user_005,reply,2026-06-15
P004,P005,user_004,user_005,retweet,2026-07-08
P009,P008,user_009,user_008,retweet,2026-08-18
P004,P001,user_004,user_001,reply,2026-08-16
P006,P007,user_006,user_007,reply,2026-08-24
P005,P001,user_005,user_001,mention,2026-07-08
P012,P036,user_012,user_036,reply,2026-06-07
P003,P004,user_003,user_004,mention,2026-08-26
P037,P033,user_037,user_033,mention,2026-07-26
P010,P008,user_010,user_008,reply,2026-07-15
P002,P001,user_002,user_001,retweet,2026-08-07
P006,P003,user_006,user_003,mention,2026-06-12
P002,P003,user_002,user_003,reply,2026-08-09
P005,P001,user_005,user_001,mention,2026-08-27
P004,P003,user_004,user_003,mention,2026-07-08
P024,P044,user_024,user_044,reply,2026-06-12
P002,P001,user_002,user_001,mention,2026-08-27
P009,P008,user_009,user_008,retweet,2026-06-20
P001,P003,user_001,user_003,retweet,2026-06-26
P004,P006,user_004,user_006,mention,2026-07-02
P009,P010,user_009,user_010,retweet,2026-08-20
P016,P001,user_016,user_001,reply,2026-08-09
P010,P009,user_010,user_009,mention,2026-08-18
P017,P020,user_017,user_020,reply,2026-08-11
P007,P006,user_007,user_006,mention,2026-07-04
P006,P010,user_006,user_010,retweet,2026-06-10
P001,P006,user_001,user_006,mention,2026-06-05
P030,P039,user_030,user_039,mention,2026-06-11
P024,P046,user_024,user_046,reply,2026-07-17
P005,P004,user_005,user_004,reply,2026-07-02
P017,P001,user_017,user_001,reply,2026-06-06
P010,P007,user_010,user_007,mention,2026-08-20
P014,P022,user_014,user_022,mention,2026-06-01
P008,P007,user_008,user_007,retweet,2026-07-13
P002,P013,user_002,user_013,reply,2026-08-17
P001,P003,user_001,user_003,retweet,2026-07-04
P006,P005,user_006,user_005,reply,2026-06-27
P005,P002,user_005,user_002,reply,2026-06-21
P007,P008,user_007,user_008,retweet,2026-08-18
P008,P006,user_008,user_006,reply,2026-06-01
P008,P006,user_008,user_006,mention,2026-08-22
P005,P002,user_005,user_002,retweet,2026-07-02
P024,P044,user_024,user_044,retweet,2026-08-02
P007,P009,user_007,user_009,retweet,2026-08-08
P004,P001,user_004,user_001,retweet,2026-06-21
P001,P006,user_001,user_006,mention,2026-06-19
P003,P001,user_003,user_001,retweet,2026-07-14
P007,P006,user_007,user_006,mention,2026-07-13
P006,P010,user_006,user_010,mention,2026-07-19
P035,P030,user_035,user_030,reply,2026-06-16
P006,P007,user_006,user_007,mention,2026-07-23
P008,P009,user_008,user_009,reply,2026-08-16
P009,P008,user_009,user_008,retweet,2026-06-26
P038,P016,user_038,user_016,mention,2026-07-14
P016,P039,user_016,user_039,mention,2026-08-15
P017,P015,user_017,user_015,mention,2026-06-20
P034,P025,user_034,user_025,reply,2026-06-20
P008,P037,user_008,user_037,reply,2026-06-17
P008,P007,user_008,user_007,reply,2026-06-11
P012,P043,user_012,user_043,mention,2026-06-23
P012,P001,user_012,user_001,reply,2026-07-22
P007,P009,user_007,user_009,reply,2026-08-23
P006,P009,user_006,user_009,retweet,2026-07-17
P043,P041,user_043,user_041,retweet,2026-08-26
P022,P025,user_022,user_025,mention,2026-08-03
P002,P001,user_002,user_001,retweet,2026-06-05
P006,P009,user_006,user_009,reply,2026-06-27
P001,P006,user_001,user_006,retweet,2026-08-25
P004,P002,user_004,user_002,retweet,2026-06-15
P010,P007,user_010,user_007,mention,2026-08-19
P036,P005,user_036,user_005,retweet,2026-07-04
P032,P003,user_032,user_003,reply,2026-07-24
P002,P005,user_002,user_005,reply,2026-07-17
P031,P029,user_031,user_029,reply,2026-07-27
P017,P013,user_017,user_013,retweet,2026-07-27
P003,P006,user_003,user_006,retweet,2026-07-22
P008,P006,user_008,user_006,reply,2026-06-21
P048,P003,user_048,user_003,reply,2026-06-18
P006,P010,user_006,user_010,mention,2026-08-19
P001,P016,user_001,user_016,retweet,2026-07-25
P026,P034,user_026,user_034,retweet,2026-06-27
P002,P003,user_002,user_003,mention,2026-06-01
P011,P035,user_011,user_035,mention,2026-07-08
P010,P008,user_010,user_008,reply,2026-08-05
P006,P010,user_006,user_010,mention,2026-08-11
P003,P004,user_003,user_004,retweet,2026-06-03
P049,P047,user_049,user_047,reply,2026-07-05
P006,P002,user_006,user_002,retweet,2026-06-05
P005,P002,user_005,user_002,reply,2026-08-01
P006,P004,user_006,user_004,mention,2026-08-10
P007,P009,user_007,user_009,reply,2026-07-20
P006,P002,user_006,user_002,reply,2026-08-19
P009,P008,user_009,user_008,mention,2026-06-10
P003,P006,user_003,user_006,mention,2026-07-15
P008,P010,user_008,user_010,reply,2026-07-14
P004,P003,user_004,user_003,retweet,2026-06-09
P010,P009,user_010,user_009,reply,2026-08-07
P004,P007,user_004,user_007,retweet,2026-06-18
P003,P005,user_003,user_005,mention,2026-06-11
P006,P004,user_006,user_004,mention,2026-08-09
P005,P003,user_005,user_003,reply,2026-08-05
P008,P009,user_008,user_009,mention,2026-08-22
P008,P006,user_008,user_006,retweet,2026-06-12
P009,P008,user_009,user_008,retweet,2026-07-12
P015,P005,user_015,user_005,mention,2026-06-23
P008,P010,user_008,user_010,mention,2026-06-01
P010,P009,user_010,user_009,retweet,2026-06-05
P044,P026,user_044,user_026,reply,2026-07-12
P007,P010,user_007,user_010,retweet,2026-06-12
P039,P027,user_039,user_027,reply,2026-08-19
P017,P019,user_017,user_019,retweet,2026-06-25
P004,P005,user_004,user_005,mention,2026-08-05
P016,P014,user_016,user_014,reply,2026-06-03
P002,P040,user_002,user_040,reply,2026-07-19
P006,P002,user_006,user_002,reply,2026-08-09
P007,P008,user_007,user_008,retweet,2026-06-09
P038,P034,user_038,user_034,mention,2026-06-06
P010,P007,user_010,user_007,reply,2026-08-05
P009,P007,user_009,user_007,reply,2026-07-18
P002,P003,user_002,user_003,mention,2026-06-10
P010,P014,user_010,user_014,mention,2026-06-17
P001,P002,user_001,user_002,reply,2026-06-23
P010,P008,user_010,user_008,retweet,2026-07-11
P003,P010,user_003,user_010,reply,2026-08-11
P004,P001,user_004,user_001,reply,2026-06-25
P007,P009,user_007,user_009,reply,2026-06-01
P024,P030,user_024,user_030,reply,2026-07-21
P018,P001,user_018,user_001,retweet,2026-06-11
P006,P001,user_006,user_001,mention,2026-06-26
P002,P003,user_002,user_003,retweet,2026-06-27
P004,P005,user_004,user_005,reply,2026-07-27
P001,P002,user_001,user_002,mention,2026-07-18
P004,P002,user_004,user_002,mention,2026-06-14
P005,P003,user_005,user_003,reply,2026-07-18
P007,P008,user_007,user_008,retweet,2026-07-07
P002,P006,user_002,user_006,reply,2026-08-02
P006,P010,user_006,user_010,mention,2026-07-06
P043,P019,user_043,user_019,mention,2026-06-14
P009,P010,user_009,user_010,mention,2026-06-17
P007,P006,user_007,user_006,reply,2026-07-24
P027,P021,user_027,user_021,mention,2026-08-10
P001,P006,user_001,user_006,retweet,2026-07-20
P004,P001,user_004,user_001,reply,2026-07-01
P019,P013,user_019,user_013,retweet,2026-06-06
P003,P006,user_003,user_006,reply,2026-06-02
P009,P007,user_009,user_007,mention,2026-08-25
P006,P026,user_006,user_026,reply,2026-07-18
P004,P002,user_004,user_002,retweet,2026-08-16
P006,P003,user_006,user_003,reply,2026-08-04
P032,P044,user_032,user_044,reply,2026-08-19
P030,P008,user_030,user_008,retweet,2026-07-06
P047,P009,user_047,user_009,reply,2026-06-15
P027,P035,user_027,user_035,reply,2026-06-08
P006,P005,user_006,user_005,mention,2026-07-19
P044,P032,user_044,user_032,mention,2026-07-27
P002,P003,user_002,user_003,retweet,2026-07-15
P048,P008,user_048,user_008,reply,2026-06-11
P007,P008,user_007,user_008,reply,2026-08-12
P048,P001,user_048,user_001,reply,2026-07-08
P036,P001,user_036,user_001,retweet,2026-07-23
P011,P026,user_011,user_026,retweet,2026-08-26
P022,P020,user_022,user_020,mention,2026-08-11
P005,P002,user_005,user_002,mention,2026-08-24
P032,P031,user_032,user_031,mention,2026-06-19
P006,P033,user_006,user_033,reply,2026-07-22
P006,P003,user_006,user_003,retweet,2026-08-07
P006,P009,user_006,user_009,retweet,2026-07-15
P027,P043,user_027,user_043,mention,2026-08-05
P006,P027,user_006,user_027,mention,2026-07-24
P049,P024,user_049,user_024,mention,2026-08-14
P042,P005,user_042,user_005,mention,2026-07-17
P050,P038,user_050,user_038,reply,2026-06-27
P009,P010,user_009,user_010,reply,2026-08-10
P042,P046,user_042,user_046,retweet,2026-08-04
P004,P003,user_004,user_003,mention,2026-06-09
P024,P037,user_024,user_037,reply,2026-06-08
P008,P007,user_008,user_007,mention,2026-08-03
P002,P004,user_002,user_004,mention,2026-07-04
P008,P009,user_008,user_009,reply,2026-07-06
P006,P009,user_006,user_009,reply,2026-06-03
P049,P033,user_049,user_033,mention,2026-07-19
P039,P006,user_039,user_006,mention,2026-08-13
P005,P002,user_005,user_002,reply,2026-08-12
P004,P005,user_004,user_005,retweet,2026-06-27
P048,P009,user_048,user_009,retweet,2026-06-02
P002,P006,user_002,user_006,retweet,2026-06-24
P012,P004,user_012,user_004,mention,2026-08-20
P008,P009,user_008,user_009,retweet,2026-06-01
P045,P018,user_045,user_018,retweet,2026-07-15
P009,P027,user_009,user_027,mention,2026-06-12
P049,P017,user_049,user_017,mention,2026-07-14
P004,P001,user_004,user_001,mention,2026-06-26
P004,P003,user_004,user_003,mention,2026-08-15
P031,P017,user_031,user_017,reply,2026-06-05
P006,P009,user_006,user_009,mention,2026-07-15
