event_id,person_id,location,timestamp,event_type,vehicle_no,source
S0001,P005,Hyderabad,2026-06-13 16:43:00,vehicle movement,DL15AB1005,synthetic_CCTV
S0002,P023,Lucknow,2026-06-16 11:42:00,location observation,GJ33AB1023,synthetic_CCTV
S0003,P002,Delhi,2026-06-17 05:11:00,location observation,KA12AB1002,synthetic_CCTV
S0004,P010,Delhi,2026-08-24 04:13:00,vehicle movement,KA20AB1010,synthetic_CCTV
S0005,P019,Bengaluru,2026-06-02 16:58:00,suspicious gathering,GJ29AB1019,synthetic_CCTV
S0006,P049,Mumbai,2026-08-15 06:22:00,suspicious gathering,DL59AB1049,synthetic_CCTV
S0007,P022,Jaipur,2026-08-11 12:53:00,vehicle movement,KA32AB1022,synthetic_CCTV
S0008,P001,Mumbai,2026-08-25 04:17:00,vehicle movement,DL11AB1001,synthetic_CCTV
S0009,P026,Delhi,2026-07-27 11:25:00,suspicious gathering,KA36AB1026,synthetic_CCTV
S0010,P012,Pune,2026-08-26 09:48:00,suspicious gathering,MH22AB1012,synthetic_CCTV
S0011,P042,Delhi,2026-08-04 21:56:00,location observation,KA52AB1042,synthetic_CCTV
S0012,P033,Mumbai,2026-07-06 18:49:00,suspicious gathering,DL43AB1033,synthetic_CCTV
S0013,P026,Delhi,2026-06-27 17:17:00,meeting,KA36AB1026,synthetic_CCTV
S0014,P035,Bengaluru,2026-07-24 10:28:00,vehicle movement,GJ45AB1035,synthetic_CCTV
S0015,P004,Pune,2026-06-27 20:23:00,suspicious gathering,MH14AB1004,synthetic_CCTV
S0016,P024,Chandigarh,2026-06-06 00:12:00,location observation,MH34AB1024,synthetic_CCTV
S0017,P030,Jaipur,2026-07-18 19:45:00,suspicious gathering,KA40AB1030,synthetic_CCTV
S0018,P024,Chandigarh,2026-06-26 00:15:00,vehicle movement,MH34AB1024,synthetic_CCTV
S0019,P011,Bengaluru,2026-08-12 12:34:00,meeting,GJ21AB1011,synthetic_CCTV
S0020,P050,Delhi,2026-06-06 04:46:00,suspicious gathering,KA60AB1050,synthetic_CCTV
S0021,P043,Bengaluru,2026-08-07 14:27:00,location observation,GJ53AB1043,synthetic_CCTV
S0022,P013,Hyderabad,2026-08-02 03:46:00,suspicious gathering,DL23AB1013,synthetic_CCTV
S0023,P011,Bengaluru,2026-08-25 03:04:00,suspicious gathering,GJ21AB1011,synthetic_CCTV
S0024,P015,Lucknow,2026-07-10 01:45:00,suspicious gathering,GJ25AB1015,synthetic_CCTV
S0025,P036,Pune,2026-06-14 11:50:00,suspicious gathering,MH46AB1036,synthetic_CCTV
S0026,P042,Delhi,2026-08-25 16:07:00,location observation,KA52AB1042,synthetic_CCTV
S0027,P039,Lucknow,2026-07-12 08:31:00,suspicious gathering,GJ49AB1039,synthetic_CCTV
S0028,P033,Mumbai,2026-06-08 18:28:00,meeting,DL43AB1033,synthetic_CCTV
S0029,P024,Chandigarh,2026-07-14 22:09:00,location observation,MH34AB1024,synthetic_CCTV
S0030,P037,Hyderabad,2026-08-01 17:33:00,suspicious gathering,DL47AB1037,synthetic_CCTV
S0031,P041,Mumbai,2026-08-01 22:55:00,vehicle movement,DL51AB1041,synthetic_CCTV
S0032,P026,Delhi,2026-08-08 03:54:00,location observation,KA36AB1026,synthetic_CCTV
S0033,P021,Hyderabad,2026-06-16 21:21:00,suspicious gathering,DL31AB1021,synthetic_CCTV
S0034,P047,Lucknow,2026-08-15 23:35:00,meeting,GJ57AB1047,synthetic_CCTV
S0035,P027,Bengaluru,2026-06-20 21:37:00,meeting,GJ37AB1027,synthetic_CCTV
S0036,P002,Delhi,2026-06-10 15:48:00,location observation,KA12AB1002,synthetic_CCTV
S0037,P034,Delhi,2026-06-13 16:39:00,location observation,KA44AB1034,synthetic_CCTV
S0038,P044,Pune,2026-06-12 20:30:00,meeting,MH54AB1044,synthetic_CCTV
S0039,P025,Mumbai,2026-07-22 23:06:00,meeting,DL35AB1025,synthetic_CCTV
S0040,P012,Pune,2026-08-19 04:58:00,meeting,MH22AB1012,synthetic_CCTV
S0041,P041,Mumbai,2026-06-14 18:51:00,location observation,DL51AB1041,synthetic_CCTV
S0042,P010,Delhi,2026-06-23 22:35:00,location observation,KA20AB1010,synthetic_CCTV
S0043,P029,Hyderabad,2026-08-13 07:40:00,location observation,DL39AB1029,synthetic_CCTV
S0044,P004,Pune,2026-08-26 16:33:00,meeting,MH14AB1004,synthetic_CCTV
S0045,P012,Pune,2026-06-19 19:36:00,suspicious gathering,MH22AB1012,synthetic_CCTV
S0046,P045,Hyderabad,2026-08-09 19:07:00,meeting,DL55AB1045,synthetic_CCTV
S0047,P030,Jaipur,2026-07-13 22:33:00,vehicle movement,KA40AB1030,synthetic_CCTV
S0048,P014,Jaipur,2026-06-04 15:32:00,location observation,KA24AB1014,synthetic_CCTV
S0049,P017,Mumbai,2026-07-18 06:10:00,meeting,DL27AB1017,synthetic_CCTV
S0050,P030,Jaipur,2026-07-15 07:26:00,suspicious gathering,KA40AB1030,synthetic_CCTV
S0051,P014,Jaipur,2026-07-14 12:00:00,suspicious gathering,KA24AB1014,synthetic_CCTV
S0052,P047,Lucknow,2026-08-12 15:13:00,suspicious gathering,GJ57AB1047,synthetic_CCTV
S0053,P031,Lucknow,2026-06-16 21:33:00,meeting,GJ41AB1031,synthetic_CCTV
S0054,P006,Jaipur,2026-07-04 09:29:00,vehicle movement,KA16AB1006,synthetic_CCTV
S0055,P035,Bengaluru,2026-06-21 12:59:00,vehicle movement,GJ45AB1035,synthetic_CCTV
S0056,P029,Hyderabad,2026-07-27 09:15:00,vehicle movement,DL39AB1029,synthetic_CCTV
S0057,P037,Hyderabad,2026-08-22 20:12:00,vehicle movement,DL47AB1037,synthetic_CCTV
S0058,P012,Pune,2026-07-17 23:53:00,suspicious gathering,MH22AB1012,synthetic_CCTV
S0059,P030,Jaipur,2026-06-07 02:01:00,location observation,KA40AB1030,synthetic_CCTV
S0060,P049,Mumbai,2026-07-07 08:27:00,meeting,DL59AB1049,synthetic_CCTV
S0061,P005,Hyderabad,2026-08-27 19:20:00,meeting,DL15AB1005,synthetic_CCTV
S0062,P036,Pune,2026-07-18 10:14:00,vehicle movement,MH46AB1036,synthetic_CCTV
S0063,P015,Lucknow,2026-07-24 07:15:00,suspicious gathering,GJ25AB1015,synthetic_CCTV
S0064,P016,Chandigarh,2026-07-10 09:37:00,location observation,MH26AB1016,synthetic_CCTV
S0065,P010,Delhi,2026-08-09 21:47:00,location observation,KA20AB1010,synthetic_CCTV
S0066,P004,Pune,2026-08-02 03:07:00,vehicle movement,MH14AB1004,synthetic_CCTV
S0067,P004,Pune,2026-08-13 16:38:00,suspicious gathering,MH14AB1004,synthetic_CCTV
