person_id,vehicle_no,registered_city,vehicle_type
P001,DL11AB1001,Mumbai,Motorcycle
P002,KA12AB1002,Delhi,Car
P003,GJ13AB1003,Bengaluru,Car
P004,MH14AB1004,Pune,Motorcycle
P005,DL15AB1005,Hyderabad,Car
P006,KA16AB1006,Jaipur,Car
P007,GJ17AB1007,Lucknow,Motorcycle
P008,MH18AB1008,Chandigarh,Car
P009,DL19AB1009,Mumbai,Car
P010,KA20AB1010,Delhi,Motorcycle
P011,GJ21AB1011,Bengaluru,Car
P012,MH22AB1012,Pune,Car
P013,DL23AB1013,Hyderabad,Motorcycle
P014,KA24AB1014,Jaipur,Car
P015,GJ25AB1015,Lucknow,Car
P016,MH26AB1016,Chandigarh,Motorcycle
P017,DL27AB1017,Mumbai,Car
P018,KA28AB1018,Delhi,Car
P019,GJ29AB1019,Bengaluru,Motorcycle
P020,MH30AB1020,Pune,Car
P021,DL31AB1021,Hyderabad,Car
P022,KA32AB1022,Jaipur,Motorcycle
P023,GJ33AB1023,Lucknow,Car
P024,MH34AB1024,Chandigarh,Car
P025,DL35AB1025,Mumbai,Motorcycle
P026,KA36AB1026,Delhi,Car
P027,GJ37AB1027,Bengaluru,Car
P028,MH38AB1028,Pune,Motorcycle
P029,DL39AB1029,Hyderabad,Car
P030,KA40AB1030,Jaipur,Car
P031,GJ41AB1031,Lucknow,Motorcycle
P032,MH42AB1032,Chandigarh,Car
P033,DL43AB1033,Mumbai,Car
P034,KA44AB1034,Delhi,Motorcycle
P035,GJ45AB1035,Bengaluru,Car
P036,MH46AB1036,Pune,Car
P037,DL47AB1037,Hyderabad,Motorcycle
P038,KA48AB1038,Jaipur,Car
P039,GJ49AB1039,Lucknow,Car
P040,MH50AB1040,Chandigarh,Motorcycle
P041,DL51AB1041,Mumbai,Car
P042,KA52AB1042,Delhi,Car
P043,GJ53AB1043,Bengaluru,Motorcycle
P044,MH54AB1044,Pune,Car
P045,DL55AB1045,Hyderabad,Car
P046,KA56AB1046,Jaipur,Motorcycle
P047,GJ57AB1047,Lucknow,Car
P048,MH58AB1048,Chandigarh,Car
P049,DL59AB1049,Mumbai,Motorcycle
P050,KA60AB1050,Delhi,Car
